SMILES_clean,IUPACName_clean,pIC50_clean
cc1ccco1ccccc1nncnsooc2cccs2c1,n55tertbutyl2methylfuran3yl1hpyrazol3ylthiophene2sulfonamide,-1.0
csc1nncncoc2cccs2c1sooc1cccclcc1,n44chlorophenylsulfonyl3methylsulfanyl1hpyrazol5ylthiophene2carboxamide,-1.176091259
cc1ccc2cscncc3ccco3c2coc1cn,3furan2ylmethylamino66dimethyl4oxo57dihydro2benzothiophene1carbonitrile,-1.204119983
csc1nnc2cccnn2cnoocc2cccs2c1cn,125dimethyl4nitropyrazol3yl3methylsulfanyl5thiophen2ylpyrazole4carbonitrile,-1.255272505
clc1cccs1c1csccsooc2cccs2n1,45chlorothiophen2yl2thiophen2ylsulfonylmethyl13thiazole,-1.255272505
cn1ncccc1ncc1cccs1c1cccs1noo,25dimethyl4nitron5thiophen2ylthiophen2ylmethylpyrazol3amine,-1.301029996
occc1nccs1c1nccs1,245dihydro13thiazol2yl113thiazol2ylethanone,-1.602059991
clc1ccccc1c1ccco1cooc1cnccclc1,5chloropyridin3yl54chlorophenylfuran2carboxylate,1.200659451
onoc1ccccc1c1ccco1cooc1cnccclc1,5chloropyridin3yl54nitrophenylfuran2carboxylate,1.22184875
onoc1ccccc1c1ccco1cooc1cnccclc1,5chloropyridin3yl52nitrophenylfuran2carboxylate,0.681936665
onoc1ccccc1c1ccco1cooc1cnccclc1,5chloropyridin3yl53nitrophenylfuran2carboxylate,0.301029996
clc1ccococ2ccncc2cnc1,5chloropyridin3ylpyridine4carboxylate,0.785156152
clc1ccococ2cnccc2cnc1,5chloropyridin3ylpyridine3carboxylate,0.156767222
onoc1ccccc1cooc1cnccclc1,5chloropyridin3yl2nitrobenzoate,0.477555766
onoc1ccccc1cooc1cnccclc1,5chloropyridin3yl3nitrobenzoate,0.164943898
clc1ccococ2c3ccccc3ccc2cnc1,5chloropyridin3ylnaphthalene1carboxylate,0.906578315
clc1ccococ2cc3coc2occcc3cnc1,5chloropyridin3yl2oxochromene3carboxylate,0.966576245
clc1cccn2ccncc2sooc2cc3cncoc3occ2ccc1,543chlorophenylmethylpiperazin1ylsulfonyl1hindole23dione,-1.501196242
coc1cccn2ccncc2sooc2cc3cncoc3occ2ccocc1oc,54345trimethoxyphenylmethylpiperazin1ylsulfonyl1hindole23dione,-1.50623436
oc1nc2ccccc2soon2ccnccc3ccccc3cc2c1o,542phenylethylpiperazin1ylsulfonyl1hindole23dione,-1.542949849
ocn1ccncc1sooc1cc2cncoc2occ1c1ccco1,54furan2carbonylpiperazin1ylsulfonyl1hindole23dione,-1.003029471
oc1nc2ccccc2soon2ccncc2c2ccccn2c1o,54pyridin2ylpiperazin1ylsulfonyl1hindole23dione,-1.710371264
oc1nc2ccccc2soon2ccocc2c1o,5morpholin4ylsulfonyl1hindole23dione,-1.102433706
cc1ccncc1sooc1cc2cncoc2occ1,54methylpiperidin1ylsulfonyl1hindole23dione,-0.071882007
cc1ccccn1sooc1cc2cncoc2occ1,52methylpiperidin1ylsulfonyl1hindole23dione,-0.352182518
cc1ccccnc1sooc1cc2cncoc2occ1,535dimethylpiperidin1ylsulfonyl1hindole23dione,-0.633468456
cn1cococ2c1cccc2soon1ccnccc1,1methyl54methylpiperazin1ylsulfonylindole23dione,-1.072984745
cn1ccncc1sooc1cc2ccc1ncc1ccccc1coc2o,1benzyl54methylpiperazin1ylsulfonylindole23dione,-1.827369273
cn1cococ2c1cccc2soon1ccocc1,1methyl5morpholin4ylsulfonylindole23dione,-0.996073654
oc1ncc2ccccc2c2ccccc2soon2ccocc2c1o,1benzyl5morpholin4ylsulfonylindole23dione,-1.14176323
cc1ccncc1sooc1cc2ccc1ncc1ccccc1coc2o,1benzyl54methylpiperidin1ylsulfonylindole23dione,-0.017033339
cc1ccncc1sooc1cc2ccc1nccoc2o,1methyl54methylpiperidin1ylsulfonylindole23dione,-1.2509077
cc1ccccnc1sooc1cc2ccc1ncc1ccccc1coc2o,1benzyl535dimethylpiperidin1ylsulfonylindole23dione,-0.450249108
cn1ccncc1sooc1ccc2ncc3ccc4ccccc4c3cococ2c1,54methylpiperazin1ylsulfonyl1naphthalen2ylmethylindole23dione,-1.918606915
oc1ncc2ccc3ccccc3c2c2ccccc2c1osoon1ccnccc2ccccc2cc1,,-1.14176323
oc1ncc2ccc3ccccc3c2c2ccccc2c1osoon1ccncc1c1ccccn1,1naphthalen2ylmethyl54pyridin2ylpiperazin1ylsulfonylindole23dione,-0.741939078
oc1ncc2ccc3ccccc3c2c2ccccc2c1osoon1ccccc1,,-1.146128036
oc1ncc2ccc3ccccc3c2c2ccccc2c1osoon1ccocc1,5morpholin4ylsulfonyl1naphthalen2ylmethylindole23dione,-1.600646236
cc1ccncc1sooc1ccc2ncc3ccc4ccccc4c3cococ2c1,54methylpiperidin1ylsulfonyl1naphthalen2ylmethylindole23dione,-0.227886705
cc1ccccnc1sooc1ccc2ncc3ccc4ccccc4c3cococ2c1,,-0.672097858
cc1ccn2cococ3ccccc23cnccno1,135dimethyl12oxazol4ylmethyl23dioxoindole5carbonitrile,-0.857332496
fc1ccclccn2cococ3cciccc23cc1,12chloro4fluorophenylmethyl5iodoindole23dione,-0.973127854
oc1ncc2cc3ccccc3s2c2ccccc2c1o,11benzothiophen2ylmethylindole23dione,-1.117602692
onoc1c2ncc3cc4ccccc4s3cococ2ccc1,11benzothiophen2ylmethyl7nitroindole23dione,-0.301029996
brc1c2ncc3cc4ccccc4s3cococ2ccc1,11benzothiophen2ylmethyl7bromoindole23dione,0.008773924
fc1ccc2ncc3cc4ccccc4s3cococ2c1,11benzothiophen2ylmethyl5fluoroindole23dione,-0.683047038
ic1ccc2ncc3cc4ccccc4s3cococ2c1,11benzothiophen2ylmethyl5iodoindole23dione,0.022276395
clc1c2coconcc3cc4ccccc4s3c2ccc1,11benzothiophen2ylmethyl4chloroindole23dione,-1.049218023
ic1ccc2ncccc3cc4ccccc4s3cococ2c1,1e31benzothiophen2ylprop2enyl5iodoindole23dione,-1.371067862
clc1cccncoc2ccccn3cococ4cciccc34s2cc1,n4chlorophenyl55iodo23dioxoindol1ylmethylthiophene2carboxamide,-1.099335278
ic1ccc2ncc3cccs3con3ccccc3cococ2c1,5iodo15piperidine1carbonylthiophen2ylmethylindole23dione,-1.243038049
